Car Name,Price,Link
Tata Nexon,Rs. 7.32 Lakh,https://www.carwale.com/tata-cars/nexon/
Mahindra Bolero,Rs. 7.99 Lakh,https://www.carwale.com/mahindra-cars/bolero/
Hyundai Creta,Rs. 10.73 Lakh,https://www.carwale.com/hyundai-cars/creta/
Maruti Suzuki Victoris,Rs. 10.50 Lakh,https://www.carwale.com/maruti-suzuki-cars/victoris/
Mahindra Thar,Rs. 9.99 Lakh,https://www.carwale.com/mahindra-cars/thar/
Mahindra XUV 3XO,Rs. 7.28 Lakh,https://www.carwale.com/mahindra-cars/xuv-3xo/
Skoda Kylaq,Rs. 7.55 Lakh,https://www.carwale.com/skoda-cars/kylaq/
Maruti Suzuki Swift,Rs. 5.79 Lakh,https://www.carwale.com/maruti-suzuki-cars/swift/
Tata Punch,Rs. 5.50 Lakh,https://www.carwale.com/tata-cars/punch/
Mahindra Scorpio N,Rs. 13.20 Lakh,https://www.carwale.com/mahindra-cars/scorpio-n/
Maruti Suzuki Baleno,Rs. 5.99 Lakh,https://www.carwale.com/maruti-suzuki-cars/baleno/
Toyota Urban Cruiser Hyryder,Rs. 10.95 Lakh,https://www.carwale.com/toyota-cars/hyryder/
Maruti Suzuki Fronx,Rs. 6.85 Lakh,https://www.carwale.com/maruti-suzuki-cars/fronx/
Mahindra Bolero Neo,Rs. 8.49 Lakh,https://www.carwale.com/mahindra-cars/bolero-neo/
Hyundai Venue,Rs. 7.26 Lakh,https://www.carwale.com/hyundai-cars/venue/
Maruti Suzuki Dzire,Rs. 6.26 Lakh,https://www.carwale.com/maruti-suzuki-cars/dzire/
Tata Tiago,Rs. 4.57 Lakh,https://www.carwale.com/tata-cars/tiago/
Renault Triber,Rs. 5.76 Lakh,https://www.carwale.com/renault-cars/triber/
Tata Sierra EV,Rs.  25.00,https://www.carwale.com/tata-cars/sierra-ev/
Hyundai New Venue,Rs.  7.90,https://www.carwale.com/hyundai-cars/new-venue/
Tata Safari EV,Rs.  26.00,https://www.carwale.com/tata-cars/safari-ev/
Maruti Suzuki e Vitara,Rs.  20.00,https://www.carwale.com/maruti-suzuki-cars/e-vitara/
Tata Sierra,Rs.  20.00,https://www.carwale.com/tata-cars/sierra/
MINI Countryman JCW,Rs.  50.00,https://www.carwale.com/mini-cars/countryman-jcw/
Skoda Octavia RS,Rs.  50.00,https://www.carwale.com/skoda-cars/octaviars/
Hyundai New Venue N Line,Rs.  11.29,https://www.carwale.com/hyundai-cars/new-venue-n-line/
Citroen eC3 Facelift,Rs.  11.00,https://www.carwale.com/citroen-cars/ec3-facelift/
Jeep Compass,Rs. 17.73 Lakh,https://www.carwale.com/jeep-cars/compass/
Toyota Glanza,Rs. 6.39 Lakh,https://www.carwale.com/toyota-cars/glanza/
Nissan Magnite,Rs. 5.62 Lakh,https://www.carwale.com/nissan-cars/magnite/
Honda City,Rs. 12.00 Lakh,https://www.carwale.com/honda-cars/city/
Skoda Slavia,Rs. 10.00 Lakh,https://www.carwale.com/skoda-cars/slavia/
Volkswagen Virtus,Rs. 11.16 Lakh,https://www.carwale.com/volkswagen-cars/virtus/
Honda Elevate,Rs. 11.05 Lakh,https://www.carwale.com/honda-cars/elevate/
Maruti Suzuki Victoris vs Maruti Suzuki Grand Vitara,Rs. 10.50 Lakh,https://www.carwale.com/compare-cars/maruti-suzuki-victoris-vs-maruti-suzuki-grand-vitara/
Mahindra Bolero vs Mahindra Bolero Neo,Rs. 7.99 Lakh,https://www.carwale.com/compare-cars/mahindra-bolero-neo-vs-mahindra-bolero/
Tata Nexon vs Mahindra XUV 3XO,Rs. 7.32 Lakh,https://www.carwale.com/compare-cars/mahindra-xuv-3xo-vs-tata-nexon/
Mahindra Thar vs Mahindra Thar Roxx,Rs. 9.99 Lakh,https://www.carwale.com/compare-cars/mahindra-thar-vs-mahindra-thar-roxx/
Hyundai Creta vs Kia Seltos,Rs. 10.73 Lakh,https://www.carwale.com/compare-cars/kia-seltos-vs-hyundai-creta/
Mahindra XUV 3XO vs Skoda Kylaq,Rs. 7.28 Lakh,https://www.carwale.com/compare-cars/skoda-kylaq-vs-mahindra-xuv-3xo/
Mahindra Scorpio N vs Mahindra XUV700,Rs. 13.20 Lakh,https://www.carwale.com/compare-cars/mahindra-xuv700-vs-mahindra-scorpio-n/
Maruti Suzuki Swift vs Maruti Suzuki Baleno,Rs. 5.79 Lakh,https://www.carwale.com/compare-cars/maruti-suzuki-swift-vs-maruti-suzuki-baleno/
Tata Punch vs Hyundai Exter,Rs. 5.50 Lakh,https://www.carwale.com/compare-cars/hyundai-exter-vs-tata-punch/
